span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic
1-24	1	24	24	0	3	(root)	(synthetic)	True
3-24	3	24	22	1	3	SubspanRepetition-Coordination-Maximal	morphosyntactic	False
7-15	7	15	9	1	1	NonPermutability-Strict	morphosyntactic	False
7-19	7	19	13	1	2	BiuniquenessDeviation-TAMP	morphosyntactic	False
7-20	7	20	14	1	3	Ciscategorial-Maximal	morphosyntactic	False
7-21	7	21	15	1	3	NonInterruptibility	morphosyntactic	False
7-23	7	23	17	1	3	NonPermutability-Scopal	morphosyntactic	False
11-20	11	20	10	1	1	BiuniquenessDeviation-2pl	morphosyntactic	False
12-19	12	19	8	2	2	SubspanRepetition-Coordination-Minimal|SubspanRepetition-Reduplication	morphosyntactic	False
12-20	12	20	9	1	1	Ciscategorial-Minimal	morphosyntactic	False
15-17	15	17	3	1	2	BiuniquenessDeviation-Valency	morphosyntactic	False
